2020-08-31 17:39:34 INFO  Log4j:29 - 
Inside TestNG > @BeforeSuite
2020-08-31 17:39:35 INFO  Log4j:48 - 
Inside TestNG > @DataProvider
2020-08-31 17:39:35 INFO  Log4j:40 - 
Inside TestNG > @Test
2020-08-31 17:39:35 INFO  Log4j:241 - Logger initialized and writing using logger
2020-08-31 17:39:35 INFO  Log4j:242 - 
Inside setup
2020-08-31 17:39:42 INFO  Log4j:58 - It is in else If block
2020-08-31 17:39:48 INFO  Log4j:205 - Launching site .. 
2020-08-31 17:39:48 INFO  Log4j:207 - Trying to login with Username:
2020-08-31 17:39:49 INFO  Log4j:211 - Trying to login with Password:
2020-08-31 17:39:50 INFO  Log4j:214 - Clicking on login button 
2020-08-31 17:39:53 INFO  Log4j:53 - Total number of rows present in the sheet: 2521
2020-08-31 17:39:53 INFO  Log4j:55 - Total number of columns present in the sheet: 5
2020-08-31 17:40:00 INFO  Log4j:113 - Clicking on All Regions filter
2020-08-31 17:40:00 INFO  Log4j:120 - Selecting subnational China
2020-08-31 17:40:04 INFO  Log4j:330 - WebElements size is on site: 31
2020-08-31 17:40:05 INFO  Log4j:340 - Both list have same size of 31
2020-08-31 17:40:05 INFO  Log4j:348 - Web element Anhui Found in Excel
2020-08-31 17:40:05 INFO  Log4j:348 - Web element Beijing Found in Excel
2020-08-31 17:40:05 INFO  Log4j:348 - Web element Chongqing Found in Excel
2020-08-31 17:40:05 INFO  Log4j:348 - Web element Fujian Found in Excel
2020-08-31 17:40:05 INFO  Log4j:348 - Web element Gansu Found in Excel
2020-08-31 17:40:05 INFO  Log4j:348 - Web element Guangdong Found in Excel
2020-08-31 17:40:05 INFO  Log4j:348 - Web element Guangxi Found in Excel
2020-08-31 17:40:05 INFO  Log4j:348 - Web element Guizhou Found in Excel
2020-08-31 17:40:05 INFO  Log4j:348 - Web element Hainan Found in Excel
2020-08-31 17:40:05 INFO  Log4j:348 - Web element Hebei Found in Excel
2020-08-31 17:40:05 INFO  Log4j:348 - Web element Heilongjiang Found in Excel
2020-08-31 17:40:05 INFO  Log4j:348 - Web element Henan Found in Excel
2020-08-31 17:40:05 INFO  Log4j:348 - Web element Hubei Found in Excel
2020-08-31 17:40:05 INFO  Log4j:348 - Web element Hunan Found in Excel
2020-08-31 17:40:05 INFO  Log4j:348 - Web element Inner Mongolia Found in Excel
2020-08-31 17:40:05 INFO  Log4j:348 - Web element Jiangsu Found in Excel
2020-08-31 17:40:05 INFO  Log4j:348 - Web element Jiangxi Found in Excel
2020-08-31 17:40:05 INFO  Log4j:348 - Web element Jilin Found in Excel
2020-08-31 17:40:05 INFO  Log4j:348 - Web element Liaoning Found in Excel
2020-08-31 17:40:05 INFO  Log4j:348 - Web element Ningxia Found in Excel
2020-08-31 17:40:05 INFO  Log4j:348 - Web element Qinghai Found in Excel
2020-08-31 17:40:05 INFO  Log4j:348 - Web element Shaanxi Found in Excel
2020-08-31 17:40:05 INFO  Log4j:348 - Web element Shandong Found in Excel
2020-08-31 17:40:05 INFO  Log4j:348 - Web element Shanghai Found in Excel
